epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,22666.1,1.26669,2.6753,1.24582,0.86857,0.84539,0.89827,0.64084,1.23317,2.10886,1.19297,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,23023.8,1.25357,2.65285,1.24279,0.87251,0.84098,0.89856,0.64091,1.23167,2.1061,1.19183,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,23408.4,1.25083,2.62651,1.2419,0.87076,0.84529,0.89898,0.64116,1.23002,2.10062,1.19049,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,23819.5,1.2471,2.62996,1.24013,0.87465,0.84182,0.89931,0.64213,1.22844,2.09665,1.18905,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,24230.9,1.25197,2.63297,1.24282,0.86958,0.84686,0.89998,0.64176,1.22731,2.09428,1.18796,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,24636,1.2459,2.58067,1.2351,0.87045,0.84563,0.90017,0.64278,1.22655,2.08963,1.18718,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,25044.2,1.2411,2.58595,1.23208,0.87368,0.84265,0.90077,0.64297,1.22611,2.08735,1.18654,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,25456,1.22465,2.5457,1.22831,0.87288,0.84715,0.90145,0.64373,1.22577,2.08393,1.18595,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,25868.2,1.23405,2.54916,1.23185,0.87196,0.84957,0.90155,0.64373,1.2253,2.08061,1.18527,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,26280.7,1.22115,2.51861,1.22573,0.87189,0.84742,0.90105,0.64408,1.22525,2.07919,1.18496,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
